YEAR,TAXON,STATUS,COUNT,PROVINCE
2016,Lichens,EXTIRPATED,15,QC
2015,Reptiles,SPECIAL CONCERN,11,NL
2015,Molluscs,ENDANGERED,31,AB
2011,Molluscs,EXTINCT,20,AB
2011,Mammals,THREATENED,25,MB
2014,Arthropods,ENDANGERED,3,ON
2011,Amphibians,SPECIAL CONCERN,35,BC
2012,Molluscs,SPECIAL CONCERN,6,PE
2013,Arthropods,SPECIAL CONCERN,50,BC
2014,Amphibians,EXTIRPATED,2,SK
2016,Vascular Plants,EXTINCT,23,AB
2015,Fishes,THREATENED,27,NL
2018,Lichens,EXTIRPATED,14,NT
2013,Molluscs,EXTIRPATED,49,NS
2015,Amphibians,ENDANGERED,28,NS
2016,Arthropods,EXTIRPATED,45,YT
2010,Reptiles,THREATENED,49,NT
2011,Fishes,ENDANGERED,11,NU
2019,Molluscs,THREATENED,21,NL
2010,Molluscs,ENDANGERED,7,QC
2011,Fishes,EXTIRPATED,13,AB
2011,Amphibians,EXTIRPATED,31,PE
2019,Reptiles,EXTINCT,34,BC
2019,Molluscs,EXTIRPATED,31,QC
2018,Vascular Plants,ENDANGERED,34,BC
2011,Vascular Plants,EXTIRPATED,29,NB
2011,Mammals,SPECIAL CONCERN,38,ON
2014,Mosses,SPECIAL CONCERN,3,ON
2011,Amphibians,EXTIRPATED,50,NT
2019,Mammals,THREATENED,10,AB
2012,Amphibians,EXTIRPATED,11,AB
2017,Birds,ENDANGERED,5,NT
2013,Fishes,EXTINCT,15,BC
2014,Molluscs,THREATENED,47,PE
2019,Lichens,THREATENED,25,BC
2010,Fishes,SPECIAL CONCERN,16,NB
2012,Lichens,THREATENED,22,NT
2018,Molluscs,SPECIAL CONCERN,41,SK
2018,Arthropods,EXTIRPATED,1,BC
2016,Amphibians,EXTINCT,28,NS
2018,Birds,THREATENED,9,AB
2019,Birds,EXTIRPATED,21,MB
2011,Mosses,EXTINCT,24,NS
2017,Molluscs,ENDANGERED,27,PE
2010,Molluscs,EXTINCT,18,NU
2014,Vascular Plants,EXTINCT,34,AB
2013,Reptiles,ENDANGERED,35,NB
2019,Vascular Plants,THREATENED,16,QC
2019,Vascular Plants,ENDANGERED,46,AB
2014,Lichens,THREATENED,42,BC
2014,Fishes,EXTIRPATED,32,BC
2011,Reptiles,ENDANGERED,29,MB
2013,Reptiles,EXTINCT,45,ON
2013,Arthropods,SPECIAL CONCERN,12,MB
2013,Lichens,EXTINCT,12,NT
2017,Reptiles,ENDANGERED,24,NB
2014,Amphibians,SPECIAL CONCERN,31,YT
2015,Amphibians,EXTINCT,2,BC
2014,Birds,ENDANGERED,40,MB
2010,Fishes,EXTINCT,33,NL
2014,Lichens,SPECIAL CONCERN,30,NS
2015,Amphibians,EXTIRPATED,39,YT
2014,Mosses,EXTIRPATED,8,BC
2012,Fishes,THREATENED,19,NT
2013,Mammals,EXTIRPATED,18,SK
2019,Lichens,THREATENED,3,AB
2016,Reptiles,THREATENED,19,QC
2016,Fishes,ENDANGERED,23,NU
2018,Amphibians,EXTINCT,38,NU
2012,Mammals,EXTINCT,3,PE
2011,Fishes,EXTINCT,31,NL
2015,Reptiles,ENDANGERED,43,YT
2011,Molluscs,THREATENED,43,NT
2013,Lichens,EXTIRPATED,5,NL
2011,Birds,EXTINCT,36,ON
2016,Arthropods,THREATENED,40,SK
2013,Fishes,SPECIAL CONCERN,48,NT
2015,Mammals,ENDANGERED,46,MB
2019,Arthropods,SPECIAL CONCERN,29,YT
2019,Lichens,EXTINCT,48,MB
2019,Arthropods,ENDANGERED,13,YT
2016,Mammals,ENDANGERED,2,NT
2017,Mammals,SPECIAL CONCERN,16,NB
2019,Mammals,ENDANGERED,29,NB
2012,Molluscs,THREATENED,41,PE
2014,Fishes,EXTINCT,47,NB
2011,Molluscs,EXTIRPATED,40,PE
2010,Molluscs,SPECIAL CONCERN,1,PE
2010,Molluscs,SPECIAL CONCERN,49,QC
2019,Mammals,SPECIAL CONCERN,39,NS
2016,Arthropods,EXTINCT,28,AB
2012,Mosses,SPECIAL CONCERN,34,NT
2017,Molluscs,ENDANGERED,41,NB
2010,Vascular Plants,EXTINCT,43,MB
2011,Lichens,THREATENED,20,ON
2015,Birds,SPECIAL CONCERN,16,SK
2010,Vascular Plants,EXTIRPATED,28,SK
2015,Mammals,THREATENED,18,YT
2011,Molluscs,EXTIRPATED,11,YT
2018,Mammals,SPECIAL CONCERN,29,YT
2013,Birds,THREATENED,20,MB
2019,Birds,ENDANGERED,12,YT
2017,Birds,EXTINCT,34,NS
2017,Lichens,THREATENED,46,AB
2014,Mosses,SPECIAL CONCERN,26,BC
2018,Amphibians,THREATENED,35,QC
2016,Fishes,EXTIRPATED,30,YT
2010,Amphibians,EXTIRPATED,40,NS
2013,Molluscs,THREATENED,35,PE
2017,Amphibians,THREATENED,6,SK
2016,Birds,EXTINCT,5,YT
2015,Arthropods,ENDANGERED,21,ON
2010,Molluscs,EXTINCT,3,MB
2018,Arthropods,EXTIRPATED,48,NL
2015,Molluscs,EXTINCT,28,NS
2011,Reptiles,ENDANGERED,33,NL
2012,Amphibians,EXTIRPATED,25,MB
2013,Lichens,EXTINCT,9,AB
2011,Molluscs,THREATENED,12,YT
2015,Amphibians,THREATENED,24,PE
2010,Fishes,ENDANGERED,27,SK
2018,Fishes,THREATENED,11,SK
2014,Arthropods,ENDANGERED,40,SK
2018,Lichens,EXTIRPATED,34,NS
2019,Arthropods,EXTIRPATED,45,ON
2011,Arthropods,ENDANGERED,28,NB
2011,Reptiles,SPECIAL CONCERN,11,PE
2011,Birds,ENDANGERED,49,NB
2013,Reptiles,EXTIRPATED,2,NB
2011,Arthropods,SPECIAL CONCERN,17,NU
2010,Molluscs,EXTINCT,29,NL
2017,Arthropods,EXTINCT,18,NT
2018,Molluscs,EXTIRPATED,19,NL
2013,Reptiles,THREATENED,31,PE
2018,Fishes,EXTIRPATED,22,SK
2010,Mammals,EXTINCT,31,NT
2012,Mosses,THREATENED,44,AB
2019,Fishes,SPECIAL CONCERN,5,MB
2010,Amphibians,ENDANGERED,45,NT
2017,Lichens,EXTINCT,41,NB
2012,Reptiles,THREATENED,27,NB
2011,Vascular Plants,SPECIAL CONCERN,40,QC
2010,Arthropods,EXTIRPATED,45,QC
2014,Amphibians,ENDANGERED,49,AB
2010,Reptiles,SPECIAL CONCERN,45,NT
2013,Molluscs,EXTINCT,48,BC
2017,Fishes,SPECIAL CONCERN,5,NT
2014,Mosses,EXTIRPATED,42,NL
2019,Amphibians,ENDANGERED,21,AB
2015,Molluscs,ENDANGERED,49,BC
2015,Arthropods,ENDANGERED,18,PE
2010,Mammals,SPECIAL CONCERN,21,BC
2017,Vascular Plants,THREATENED,9,NS
2013,Arthropods,EXTIRPATED,28,YT
2011,Amphibians,ENDANGERED,15,BC
2018,Fishes,THREATENED,2,NL
2010,Fishes,ENDANGERED,32,AB
2012,Mammals,ENDANGERED,21,NL
2012,Birds,THREATENED,16,NB
2015,Mammals,EXTIRPATED,20,NB
2011,Fishes,ENDANGERED,20,PE
2011,Birds,EXTINCT,11,NU
2015,Arthropods,THREATENED,31,PE
2014,Birds,ENDANGERED,19,BC
2011,Mammals,ENDANGERED,25,NS
2010,Mosses,THREATENED,6,ON
2016,Molluscs,THREATENED,48,NL
2019,Mammals,ENDANGERED,11,NU
2011,Vascular Plants,THREATENED,13,AB
2012,Lichens,SPECIAL CONCERN,13,NT
2011,Lichens,SPECIAL CONCERN,28,SK
2014,Reptiles,SPECIAL CONCERN,11,NB
2010,Vascular Plants,THREATENED,2,NS
2019,Arthropods,SPECIAL CONCERN,21,ON
2017,Arthropods,THREATENED,13,SK
2010,Reptiles,SPECIAL CONCERN,39,QC
2011,Arthropods,ENDANGERED,18,NL
2015,Fishes,EXTIRPATED,7,NL
2016,Mammals,THREATENED,27,YT
2018,Molluscs,EXTINCT,6,BC
2015,Arthropods,SPECIAL CONCERN,9,QC
2012,Arthropods,THREATENED,31,BC
2017,Mosses,THREATENED,12,NB
2013,Vascular Plants,ENDANGERED,36,ON
2014,Molluscs,EXTIRPATED,13,PE
2019,Birds,EXTINCT,22,NL
2010,Reptiles,EXTIRPATED,14,PE
2011,Arthropods,SPECIAL CONCERN,39,NB
2010,Amphibians,EXTIRPATED,5,NT
2011,Vascular Plants,EXTINCT,39,MB
2016,Fishes,EXTIRPATED,40,NB
2016,Fishes,EXTIRPATED,35,AB
2019,Mammals,SPECIAL CONCERN,11,AB
2019,Amphibians,SPECIAL CONCERN,46,ON
2016,Reptiles,THREATENED,40,MB
2019,Mammals,THREATENED,19,QC
2015,Birds,SPECIAL CONCERN,13,NT
2018,Mosses,ENDANGERED,42,AB
2019,Birds,EXTIRPATED,1,BC
2019,Amphibians,ENDANGERED,29,NL
2012,Arthropods,EXTINCT,1,SK
2010,Birds,SPECIAL CONCERN,4,BC
2017,Lichens,ENDANGERED,27,BC
2014,Amphibians,SPECIAL CONCERN,32,ON
2014,Vascular Plants,EXTINCT,4,QC
2016,Lichens,THREATENED,24,NB
2019,Arthropods,EXTINCT,38,NS
2017,Reptiles,EXTIRPATED,46,MB
2012,Reptiles,EXTIRPATED,9,SK
2017,Amphibians,THREATENED,36,NL
2015,Reptiles,EXTINCT,43,QC
2017,Mammals,ENDANGERED,38,NS
2015,Amphibians,THREATENED,25,QC
2012,Mammals,EXTIRPATED,3,BC
2013,Vascular Plants,THREATENED,26,AB
2018,Amphibians,SPECIAL CONCERN,10,ON
2011,Fishes,EXTIRPATED,7,SK
2010,Vascular Plants,ENDANGERED,12,ON
2019,Birds,EXTIRPATED,42,YT
2015,Fishes,THREATENED,15,BC
2019,Fishes,ENDANGERED,45,QC
2014,Vascular Plants,EXTINCT,5,BC
2015,Reptiles,THREATENED,13,YT
2017,Molluscs,SPECIAL CONCERN,33,NL
2010,Molluscs,SPECIAL CONCERN,30,NB
2015,Mammals,THREATENED,50,SK
2013,Fishes,SPECIAL CONCERN,28,PE
2016,Vascular Plants,EXTIRPATED,3,NS
2011,Lichens,ENDANGERED,38,NU
2016,Lichens,EXTINCT,23,QC
2013,Vascular Plants,EXTINCT,30,QC
2019,Vascular Plants,EXTINCT,26,PE
2013,Arthropods,THREATENED,5,NS
2014,Molluscs,THREATENED,28,BC
2018,Birds,EXTIRPATED,23,SK
2017,Fishes,EXTINCT,4,NB
2011,Vascular Plants,ENDANGERED,23,YT
2015,Amphibians,ENDANGERED,13,NB
2012,Arthropods,SPECIAL CONCERN,7,NT
2019,Molluscs,ENDANGERED,11,QC
2016,Mosses,EXTINCT,35,NT
2014,Arthropods,EXTIRPATED,36,QC
2017,Vascular Plants,ENDANGERED,23,PE
2019,Lichens,EXTINCT,7,PE
2019,Arthropods,EXTINCT,44,AB
2017,Lichens,EXTIRPATED,35,QC
2016,Birds,ENDANGERED,26,BC
2012,Fishes,EXTIRPATED,28,MB
2015,Birds,EXTINCT,42,NU
2018,Arthropods,THREATENED,34,NU
2010,Mosses,EXTIRPATED,16,YT
2019,Fishes,EXTIRPATED,35,ON
2013,Lichens,EXTIRPATED,20,NU
2015,Lichens,SPECIAL CONCERN,38,SK
2017,Arthropods,THREATENED,19,PE
2014,Fishes,EXTINCT,21,ON
2013,Reptiles,SPECIAL CONCERN,14,MB
2010,Birds,SPECIAL CONCERN,13,NU
2019,Amphibians,EXTIRPATED,16,YT
2018,Birds,THREATENED,17,SK
2010,Birds,EXTINCT,16,PE
2017,Amphibians,EXTIRPATED,1,MB
2011,Birds,ENDANGERED,41,QC
2012,Mosses,THREATENED,18,MB
2018,Lichens,SPECIAL CONCERN,31,MB
2017,Mammals,EXTINCT,7,NL
2014,Reptiles,EXTINCT,34,NU
2013,Fishes,SPECIAL CONCERN,2,NL
2013,Vascular Plants,THREATENED,35,NT
2018,Amphibians,SPECIAL CONCERN,19,AB
2019,Fishes,ENDANGERED,2,NB
2018,Lichens,ENDANGERED,44,PE
2016,Fishes,SPECIAL CONCERN,29,NU
2015,Reptiles,SPECIAL CONCERN,44,BC
2012,Mammals,SPECIAL CONCERN,32,NU
2012,Birds,EXTIRPATED,4,QC
2018,Molluscs,THREATENED,14,PE
2015,Amphibians,SPECIAL CONCERN,43,NT
2015,Reptiles,SPECIAL CONCERN,43,QC
2016,Arthropods,THREATENED,50,NU
2010,Molluscs,EXTINCT,49,NS
2019,Mammals,EXTIRPATED,22,PE
2019,Amphibians,SPECIAL CONCERN,41,NS
2016,Lichens,THREATENED,27,SK
2012,Mammals,SPECIAL CONCERN,28,YT
2014,Mosses,SPECIAL CONCERN,48,QC
2019,Birds,ENDANGERED,41,NS
2010,Molluscs,THREATENED,16,NB
2012,Amphibians,EXTINCT,45,NT
2010,Birds,ENDANGERED,3,NT
2018,Lichens,ENDANGERED,5,MB
2015,Lichens,ENDANGERED,9,YT
2017,Amphibians,EXTIRPATED,47,YT
2017,Mammals,SPECIAL CONCERN,38,AB
2019,Reptiles,THREATENED,6,NT
2010,Vascular Plants,THREATENED,37,AB
2010,Birds,ENDANGERED,5,AB
2015,Mosses,EXTINCT,13,NS
2013,Vascular Plants,EXTINCT,32,NU
2010,Fishes,THREATENED,2,NT
2019,Fishes,EXTINCT,39,SK
2012,Vascular Plants,EXTIRPATED,18,NT
2011,Birds,THREATENED,11,QC
2015,Reptiles,THREATENED,10,AB
2012,Fishes,ENDANGERED,34,NB
2018,Birds,SPECIAL CONCERN,3,NT
2015,Mammals,THREATENED,41,PE
2017,Molluscs,SPECIAL CONCERN,24,NT
2019,Reptiles,SPECIAL CONCERN,8,QC
2013,Amphibians,EXTINCT,44,NB
2016,Fishes,SPECIAL CONCERN,27,NB
2017,Vascular Plants,THREATENED,35,BC
2014,Reptiles,EXTIRPATED,30,BC
2012,Molluscs,SPECIAL CONCERN,46,YT
2015,Lichens,SPECIAL CONCERN,29,MB
2010,Birds,SPECIAL CONCERN,30,SK
2013,Reptiles,EXTINCT,14,YT
2016,Birds,EXTINCT,17,NL
2017,Fishes,EXTINCT,50,SK
2018,Arthropods,THREATENED,9,YT
2018,Mammals,EXTINCT,23,PE
2011,Reptiles,EXTIRPATED,37,BC
2014,Vascular Plants,EXTINCT,43,NT
2018,Mammals,THREATENED,32,NL
2016,Mosses,ENDANGERED,26,NT
2015,Vascular Plants,SPECIAL CONCERN,34,AB
2014,Reptiles,SPECIAL CONCERN,44,NL
2016,Vascular Plants,SPECIAL CONCERN,6,NT
2011,Mosses,SPECIAL CONCERN,16,NB
2012,Lichens,EXTINCT,42,NB
2015,Mosses,EXTINCT,27,SK
2017,Lichens,EXTINCT,27,PE
2011,Lichens,ENDANGERED,8,MB
2015,Fishes,EXTIRPATED,10,NS
2013,Vascular Plants,EXTINCT,38,MB
2015,Mosses,EXTIRPATED,39,NU
2019,Lichens,EXTINCT,16,SK
2019,Vascular Plants,EXTINCT,45,QC
2010,Lichens,ENDANGERED,26,ON
2015,Lichens,EXTIRPATED,14,SK
2014,Fishes,EXTIRPATED,14,NT
2018,Mosses,THREATENED,22,AB
2017,Reptiles,SPECIAL CONCERN,24,NU
2015,Birds,EXTIRPATED,44,NS
2017,Vascular Plants,THREATENED,23,YT
2016,Lichens,EXTIRPATED,15,YT
2014,Vascular Plants,THREATENED,18,QC
2018,Mammals,EXTINCT,35,NT
2017,Lichens,EXTIRPATED,25,SK
2015,Vascular Plants,EXTIRPATED,40,BC
2016,Birds,EXTINCT,8,NS
2017,Vascular Plants,SPECIAL CONCERN,42,ON
2015,Mammals,THREATENED,31,NB
2012,Molluscs,EXTIRPATED,34,ON
2012,Mosses,EXTIRPATED,42,NU
2011,Lichens,EXTINCT,7,YT
2010,Molluscs,ENDANGERED,24,MB
2011,Mammals,ENDANGERED,5,NL
2015,Lichens,SPECIAL CONCERN,12,QC
2015,Reptiles,EXTINCT,1,PE
2010,Molluscs,EXTINCT,11,BC
2013,Mosses,ENDANGERED,23,SK
2014,Mammals,SPECIAL CONCERN,47,QC
2019,Mammals,EXTINCT,39,NS
2011,Amphibians,SPECIAL CONCERN,43,PE
2017,Lichens,SPECIAL CONCERN,41,NB
2015,Birds,ENDANGERED,26,PE
2019,Molluscs,THREATENED,16,NU
2011,Birds,THREATENED,14,NT
2019,Amphibians,EXTINCT,27,ON
2017,Fishes,EXTINCT,17,MB
2016,Reptiles,ENDANGERED,28,ON
2013,Mammals,ENDANGERED,45,QC
2019,Amphibians,THREATENED,46,QC
2015,Mammals,EXTIRPATED,36,AB
2012,Birds,EXTINCT,44,YT
2011,Birds,EXTIRPATED,9,QC
2016,Arthropods,ENDANGERED,44,PE
2013,Molluscs,EXTINCT,15,NS
2010,Amphibians,SPECIAL CONCERN,42,NU
2015,Amphibians,SPECIAL CONCERN,30,SK
2017,Molluscs,THREATENED,5,PE
2014,Mosses,ENDANGERED,39,ON
2012,Mosses,EXTINCT,21,BC
2014,Fishes,ENDANGERED,5,BC
2016,Arthropods,ENDANGERED,32,NU
2013,Mammals,ENDANGERED,11,AB
2016,Birds,EXTINCT,45,NU
2015,Mosses,THREATENED,47,PE
2013,Fishes,EXTIRPATED,34,SK
2010,Amphibians,THREATENED,36,ON
2010,Mammals,THREATENED,5,PE
2011,Reptiles,THREATENED,18,ON
2010,Birds,EXTIRPATED,32,NT
2016,Vascular Plants,EXTIRPATED,32,YT
2015,Molluscs,SPECIAL CONCERN,24,ON
2014,Arthropods,THREATENED,18,MB
2019,Lichens,SPECIAL CONCERN,12,NB
2012,Mammals,EXTINCT,40,NS
2018,Mammals,ENDANGERED,28,MB
2011,Arthropods,EXTINCT,46,PE
2013,Mosses,EXTIRPATED,15,PE
2017,Lichens,EXTINCT,20,YT
2011,Birds,SPECIAL CONCERN,30,NB
2011,Reptiles,EXTINCT,9,NT
2018,Molluscs,ENDANGERED,9,NB
2012,Mosses,SPECIAL CONCERN,20,NU
2018,Lichens,EXTINCT,49,YT
2016,Birds,EXTIRPATED,14,NB
2012,Arthropods,ENDANGERED,40,PE
2017,Mammals,SPECIAL CONCERN,8,ON
2010,Reptiles,EXTINCT,45,MB
2013,Fishes,THREATENED,45,QC
2016,Reptiles,SPECIAL CONCERN,47,AB
2014,Molluscs,EXTIRPATED,41,NL
2012,Molluscs,EXTIRPATED,20,NL
2018,Mammals,THREATENED,14,BC
2014,Mammals,EXTINCT,28,NT
2014,Molluscs,THREATENED,39,NL
2010,Arthropods,ENDANGERED,31,QC
2012,Reptiles,SPECIAL CONCERN,14,NT
2018,Vascular Plants,THREATENED,6,QC
2018,Mammals,EXTINCT,42,YT
2014,Mosses,SPECIAL CONCERN,40,SK
2016,Reptiles,THREATENED,14,AB
2019,Arthropods,SPECIAL CONCERN,6,PE
2010,Birds,ENDANGERED,25,NS
2013,Mosses,THREATENED,49,PE
2013,Vascular Plants,SPECIAL CONCERN,12,AB
2019,Arthropods,ENDANGERED,30,NB
2017,Mammals,THREATENED,5,BC
2014,Molluscs,ENDANGERED,34,NB
2015,Birds,ENDANGERED,27,BC
2015,Vascular Plants,EXTINCT,27,ON
2017,Amphibians,EXTIRPATED,5,QC
2017,Fishes,SPECIAL CONCERN,33,BC
2011,Lichens,SPECIAL CONCERN,39,YT
2015,Vascular Plants,EXTIRPATED,27,AB
2011,Arthropods,THREATENED,11,NT
2016,Vascular Plants,EXTIRPATED,5,NB
2010,Fishes,EXTIRPATED,42,NT
2011,Lichens,ENDANGERED,45,SK
2010,Mammals,ENDANGERED,49,AB
2013,Birds,THREATENED,35,YT
2013,Vascular Plants,ENDANGERED,10,NB
2016,Birds,ENDANGERED,34,MB
2010,Reptiles,EXTINCT,33,NT
2016,Fishes,ENDANGERED,50,BC
2018,Birds,EXTINCT,27,NL
2015,Birds,THREATENED,7,ON
2019,Fishes,EXTIRPATED,29,NU
2012,Fishes,EXTIRPATED,1,NS
2010,Reptiles,EXTINCT,36,NB
2016,Arthropods,THREATENED,36,QC
2018,Birds,THREATENED,20,PE
2018,Amphibians,ENDANGERED,33,PE
2015,Molluscs,EXTINCT,1,AB
2016,Lichens,SPECIAL CONCERN,12,YT
2013,Birds,EXTINCT,11,ON
2014,Molluscs,EXTINCT,11,PE
2012,Amphibians,EXTINCT,14,NB
2018,Birds,THREATENED,45,NS
2011,Amphibians,EXTIRPATED,48,YT
2016,Vascular Plants,EXTINCT,6,NT
2014,Reptiles,THREATENED,28,YT
2018,Arthropods,EXTINCT,24,SK
2015,Molluscs,SPECIAL CONCERN,33,PE
2012,Mammals,ENDANGERED,19,MB
2014,Fishes,SPECIAL CONCERN,31,MB
2014,Arthropods,THREATENED,5,QC
2015,Lichens,THREATENED,18,SK
2015,Birds,THREATENED,6,AB
2018,Molluscs,EXTINCT,33,QC
2016,Reptiles,EXTINCT,11,QC
2010,Lichens,ENDANGERED,22,NU
2013,Vascular Plants,EXTINCT,49,BC
2018,Amphibians,THREATENED,41,SK
2017,Mammals,EXTIRPATED,41,PE
2010,Amphibians,ENDANGERED,16,PE
2014,Mammals,EXTINCT,24,QC
2014,Fishes,EXTIRPATED,21,AB
2018,Arthropods,EXTINCT,22,NS
2010,Arthropods,ENDANGERED,37,PE
2018,Vascular Plants,EXTINCT,37,SK
2017,Fishes,EXTINCT,5,NT
2010,Mammals,EXTINCT,16,ON
2012,Amphibians,SPECIAL CONCERN,38,NB
2013,Vascular Plants,EXTIRPATED,3,QC
2014,Birds,THREATENED,33,NB
2013,Vascular Plants,ENDANGERED,28,NT
2011,Fishes,ENDANGERED,50,NT
2013,Mosses,EXTINCT,10,NS
2019,Vascular Plants,ENDANGERED,4,ON
2011,Reptiles,THREATENED,36,YT
2015,Birds,THREATENED,5,NS
2014,Lichens,EXTINCT,11,PE
2019,Arthropods,EXTIRPATED,29,NL
2018,Arthropods,EXTIRPATED,27,SK
2016,Vascular Plants,EXTIRPATED,40,PE
2010,Arthropods,EXTIRPATED,49,BC
2013,Amphibians,EXTINCT,44,MB
2010,Fishes,SPECIAL CONCERN,6,QC
2019,Amphibians,THREATENED,40,NL
2012,Mammals,SPECIAL CONCERN,37,AB
2018,Fishes,EXTINCT,7,NT
2012,Fishes,EXTIRPATED,30,AB
2016,Reptiles,EXTIRPATED,31,AB
2016,Vascular Plants,ENDANGERED,8,ON
2016,Lichens,EXTINCT,46,PE
2015,Arthropods,THREATENED,13,MB
2015,Reptiles,SPECIAL CONCERN,1,PE
2019,Vascular Plants,SPECIAL CONCERN,36,NU
2019,Fishes,ENDANGERED,26,PE
2013,Molluscs,EXTINCT,23,NL
2015,Fishes,THREATENED,17,NS
2012,Arthropods,EXTIRPATED,28,MB
2010,Vascular Plants,EXTIRPATED,17,ON
2012,Mammals,THREATENED,25,NS
2018,Vascular Plants,EXTIRPATED,3,MB
2012,Amphibians,ENDANGERED,33,ON
2017,Arthropods,THREATENED,41,YT
2016,Lichens,EXTIRPATED,46,BC
2018,Lichens,SPECIAL CONCERN,19,QC
2012,Amphibians,EXTIRPATED,36,NB
2015,Arthropods,EXTINCT,23,PE
2013,Reptiles,ENDANGERED,13,ON
2017,Molluscs,THREATENED,8,NU
2019,Fishes,ENDANGERED,36,NU
2019,Arthropods,EXTINCT,29,YT
2011,Mammals,EXTINCT,11,YT
2013,Lichens,ENDANGERED,1,NT
2019,Lichens,THREATENED,42,ON
2010,Fishes,ENDANGERED,48,YT
2016,Reptiles,EXTINCT,47,AB
2011,Mammals,ENDANGERED,26,PE
2015,Mosses,ENDANGERED,17,NL
2010,Fishes,EXTIRPATED,41,QC
2018,Vascular Plants,ENDANGERED,36,NB
2015,Reptiles,THREATENED,13,NL
2013,Fishes,EXTINCT,16,NB
2019,Mosses,EXTIRPATED,47,MB
2018,Molluscs,SPECIAL CONCERN,10,NB
2013,Arthropods,ENDANGERED,1,AB
2014,Vascular Plants,THREATENED,24,YT
2018,Vascular Plants,THREATENED,42,NL
2012,Arthropods,SPECIAL CONCERN,28,YT
2010,Arthropods,EXTINCT,13,NU
2015,Mammals,EXTIRPATED,26,SK
2013,Vascular Plants,SPECIAL CONCERN,38,MB
2018,Birds,THREATENED,28,YT
2016,Arthropods,SPECIAL CONCERN,12,NT
2018,Arthropods,ENDANGERED,19,BC
2018,Mosses,ENDANGERED,7,MB
2016,Vascular Plants,EXTIRPATED,28,NU
2011,Fishes,ENDANGERED,20,BC
2017,Reptiles,SPECIAL CONCERN,5,NL
2010,Birds,ENDANGERED,39,PE
2015,Lichens,EXTINCT,31,AB
2012,Fishes,EXTINCT,28,QC
2010,Arthropods,THREATENED,26,YT
2012,Mosses,ENDANGERED,44,NL
2015,Reptiles,EXTINCT,27,ON
2015,Molluscs,THREATENED,38,AB
2011,Reptiles,EXTIRPATED,28,QC
2016,Lichens,THREATENED,3,NL
2013,Mammals,ENDANGERED,10,NU
2010,Mosses,ENDANGERED,42,NT
2018,Mammals,THREATENED,12,AB
2015,Mammals,EXTINCT,47,AB
2015,Amphibians,ENDANGERED,44,NT
2016,Arthropods,EXTINCT,34,MB
2019,Birds,ENDANGERED,12,NT
2013,Fishes,EXTINCT,49,QC
2013,Arthropods,SPECIAL CONCERN,42,YT
2018,Fishes,SPECIAL CONCERN,44,MB
2017,Mosses,ENDANGERED,27,QC
2019,Birds,EXTIRPATED,14,QC
2018,Birds,EXTIRPATED,34,YT
2011,Mammals,SPECIAL CONCERN,2,QC
2011,Birds,ENDANGERED,50,AB
2016,Vascular Plants,THREATENED,38,QC
2019,Reptiles,THREATENED,13,NB
2015,Lichens,SPECIAL CONCERN,36,NL
2011,Birds,THREATENED,13,NL
2012,Lichens,EXTIRPATED,16,NL
2014,Mosses,SPECIAL CONCERN,42,YT
2014,Arthropods,THREATENED,40,NU
2013,Fishes,EXTINCT,12,NU
2011,Mosses,THREATENED,45,PE
2013,Birds,SPECIAL CONCERN,45,PE
2018,Reptiles,ENDANGERED,28,NB
2017,Birds,ENDANGERED,43,QC
2019,Fishes,EXTIRPATED,39,NB
2019,Amphibians,EXTIRPATED,36,NT
2014,Mammals,EXTINCT,35,PE
2013,Vascular Plants,SPECIAL CONCERN,32,NU
2010,Arthropods,SPECIAL CONCERN,30,SK
2011,Mammals,SPECIAL CONCERN,37,NL
2015,Amphibians,THREATENED,40,SK
2019,Arthropods,EXTIRPATED,6,BC
2016,Molluscs,ENDANGERED,20,NT
2018,Reptiles,THREATENED,22,MB
2019,Amphibians,EXTINCT,11,NU
2012,Lichens,EXTINCT,5,NU
2017,Lichens,EXTINCT,45,NT
2018,Reptiles,EXTIRPATED,8,NS
2011,Lichens,THREATENED,33,PE
2014,Lichens,EXTINCT,32,NU
2014,Reptiles,THREATENED,24,QC
2019,Mosses,SPECIAL CONCERN,12,YT
2013,Birds,EXTIRPATED,32,BC
2014,Fishes,EXTINCT,33,NU
2017,Amphibians,ENDANGERED,37,BC
2017,Birds,SPECIAL CONCERN,37,MB
2017,Mammals,EXTIRPATED,42,NT
2010,Fishes,EXTIRPATED,24,NU
2018,Birds,THREATENED,36,ON
2016,Vascular Plants,SPECIAL CONCERN,49,PE
2010,Mammals,SPECIAL CONCERN,3,ON
2016,Mosses,ENDANGERED,34,NS
2012,Arthropods,EXTIRPATED,2,NT
2010,Reptiles,SPECIAL CONCERN,41,PE
2015,Reptiles,EXTIRPATED,43,MB
2018,Fishes,EXTINCT,36,YT
2019,Lichens,THREATENED,39,NL
2014,Reptiles,EXTIRPATED,18,PE
2010,Birds,SPECIAL CONCERN,6,AB
2013,Arthropods,THREATENED,4,NL
2017,Arthropods,EXTINCT,17,AB
2017,Birds,EXTINCT,37,MB
2013,Fishes,THREATENED,15,MB
2018,Mosses,EXTINCT,13,NB
2018,Reptiles,SPECIAL CONCERN,17,AB
2010,Lichens,THREATENED,2,SK
2018,Birds,ENDANGERED,46,NU
2015,Mammals,ENDANGERED,1,YT
2019,Reptiles,EXTIRPATED,8,MB
2012,Mammals,EXTINCT,17,MB
